Reporte de Detección de Vehículos

ID: 4084, Nombre: lluvia24.jpg, Ubicación: uploads\lluvia24.jpg, Tipo: automovil, Confianza: 89.02%, Fecha/Hora: 2025-01-12 10:27:31.752104, Tiempo: 0.189882s
ID: 4085, Nombre: lluvia24.jpg, Ubicación: uploads\lluvia24.jpg, Tipo: automovil, Confianza: 83.82%, Fecha/Hora: 2025-01-12 10:27:31.753104, Tiempo: 0.189882s
ID: 4086, Nombre: lluvia24.jpg, Ubicación: uploads\lluvia24.jpg, Tipo: automovil, Confianza: 74.80%, Fecha/Hora: 2025-01-12 10:27:31.754103, Tiempo: 0.189882s
ID: 4087, Nombre: lluvia24.jpg, Ubicación: uploads\lluvia24.jpg, Tipo: automovil, Confianza: 40.59%, Fecha/Hora: 2025-01-12 10:27:31.757102, Tiempo: 0.189882s
ID: 4088, Nombre: lluvia24.jpg, Ubicación: uploads\lluvia24.jpg, Tipo: automovil, Confianza: 34.73%, Fecha/Hora: 2025-01-12 10:27:31.760100, Tiempo: 0.189882s
ID: 4089, Nombre: lluvia24.jpg, Ubicación: uploads\lluvia24.jpg, Tipo: automovil, Confianza: 94.73%, Fecha/Hora: 2025-01-12 10:27:31.898015, Tiempo: 0.337791s
ID: 4090, Nombre: lluvia24.jpg, Ubicación: uploads\lluvia24.jpg, Tipo: automovil, Confianza: 89.93%, Fecha/Hora: 2025-01-12 10:27:31.900013, Tiempo: 0.337791s
ID: 4091, Nombre: lluvia24.jpg, Ubicación: uploads\lluvia24.jpg, Tipo: automovil, Confianza: 89.02%, Fecha/Hora: 2025-01-12 10:27:31.902012, Tiempo: 0.337791s
ID: 4092, Nombre: lluvia24.jpg, Ubicación: uploads\lluvia24.jpg, Tipo: automovil, Confianza: 83.82%, Fecha/Hora: 2025-01-12 10:27:31.903011, Tiempo: 0.337791s
ID: 4093, Nombre: lluvia24.jpg, Ubicación: uploads\lluvia24.jpg, Tipo: automovil, Confianza: 74.80%, Fecha/Hora: 2025-01-12 10:27:31.905010, Tiempo: 0.337791s
