Reporte de Detección de Vehículos

ID: 107, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 25.62%, Fecha/Hora: 26/1/2025 10:31:51, Tiempo: 15.61 ss
ID: 108, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 34.28%, Fecha/Hora: 26/1/2025 10:31:51, Tiempo: 15.78 ss
ID: 109, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 52.95%, Fecha/Hora: 26/1/2025 10:31:51, Tiempo: 16.30 ss
ID: 110, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 94.13%, Fecha/Hora: 26/1/2025 10:31:52, Tiempo: 16.48 ss
ID: 111, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 85.28%, Fecha/Hora: 26/1/2025 10:31:52, Tiempo: 16.48 ss
ID: 112, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 28.18%, Fecha/Hora: 26/1/2025 10:31:52, Tiempo: 16.48 ss
ID: 113, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 93.21%, Fecha/Hora: 26/1/2025 10:31:52, Tiempo: 16.67 ss
ID: 114, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 36.65%, Fecha/Hora: 26/1/2025 10:31:52, Tiempo: 17.04 ss
ID: 115, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 86.46%, Fecha/Hora: 26/1/2025 10:31:52, Tiempo: 17.20 ss
ID: 116, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 83.57%, Fecha/Hora: 26/1/2025 10:31:52, Tiempo: 17.20 ss
ID: 117, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 47.10%, Fecha/Hora: 26/1/2025 10:31:52, Tiempo: 17.20 ss
ID: 118, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 40.76%, Fecha/Hora: 26/1/2025 10:31:53, Tiempo: 17.39 ss
ID: 119, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 58.85%, Fecha/Hora: 26/1/2025 10:31:53, Tiempo: 17.78 ss
ID: 120, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 85.10%, Fecha/Hora: 26/1/2025 10:31:53, Tiempo: 17.99 ss
ID: 121, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 71.89%, Fecha/Hora: 26/1/2025 10:31:53, Tiempo: 17.99 ss
ID: 122, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 28.10%, Fecha/Hora: 26/1/2025 10:31:53, Tiempo: 18.17 ss
ID: 123, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 88.64%, Fecha/Hora: 26/1/2025 10:31:54, Tiempo: 18.35 ss
ID: 124, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 71.11%, Fecha/Hora: 26/1/2025 10:31:54, Tiempo: 18.35 ss
ID: 125, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: furgoneta, Confianza: 30.83%, Fecha/Hora: 26/1/2025 10:31:54, Tiempo: 18.69 ss
ID: 126, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 90.46%, Fecha/Hora: 26/1/2025 10:31:54, Tiempo: 18.85 ss
ID: 127, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 90.90%, Fecha/Hora: 26/1/2025 10:31:54, Tiempo: 19.02 ss
ID: 128, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 87.57%, Fecha/Hora: 26/1/2025 10:31:54, Tiempo: 19.02 ss
ID: 129, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 62.79%, Fecha/Hora: 26/1/2025 10:31:54, Tiempo: 19.02 ss
