Reporte de Detección de Vehículos

ID: 9099, Nombre: lliooooook.mp4, Ubicación: uploads\lliooooook.mp4, Tipo: automovil, Confianza: 0.91%, Fecha/Hora: 2025-01-26T08:17:33.628713, Tiempo: 0.0s
ID: 9100, Nombre: lliooooook.mp4, Ubicación: uploads\lliooooook.mp4, Tipo: automovil, Confianza: 0.85%, Fecha/Hora: 2025-01-26T08:17:33.628713, Tiempo: 0.0s
ID: 9101, Nombre: lliooooook.mp4, Ubicación: uploads\lliooooook.mp4, Tipo: automovil, Confianza: 0.84%, Fecha/Hora: 2025-01-26T08:17:33.628713, Tiempo: 0.0s
ID: 9102, Nombre: lliooooook.mp4, Ubicación: uploads\lliooooook.mp4, Tipo: automovil, Confianza: 0.74%, Fecha/Hora: 2025-01-26T08:17:33.628713, Tiempo: 0.0s
ID: 9103, Nombre: lliooooook.mp4, Ubicación: uploads\lliooooook.mp4, Tipo: automovil, Confianza: 0.63%, Fecha/Hora: 2025-01-26T08:17:33.628713, Tiempo: 0.0s
ID: 9104, Nombre: lliooooook.mp4, Ubicación: uploads\lliooooook.mp4, Tipo: automovil, Confianza: 0.61%, Fecha/Hora: 2025-01-26T08:17:33.628713, Tiempo: 0.0s
ID: 9105, Nombre: lliooooook.mp4, Ubicación: uploads\lliooooook.mp4, Tipo: automovil, Confianza: 0.51%, Fecha/Hora: 2025-01-26T08:17:33.628713, Tiempo: 0.0s
ID: 9106, Nombre: lliooooook.mp4, Ubicación: uploads\lliooooook.mp4, Tipo: automovil, Confianza: 0.44%, Fecha/Hora: 2025-01-26T08:17:33.629713, Tiempo: 0.0s
ID: 9107, Nombre: lliooooook.mp4, Ubicación: uploads\lliooooook.mp4, Tipo: automovil, Confianza: 0.34%, Fecha/Hora: 2025-01-26T08:17:33.629713, Tiempo: 0.0s
ID: 9108, Nombre: lliooooook.mp4, Ubicación: uploads\lliooooook.mp4, Tipo: bus, Confianza: 0.28%, Fecha/Hora: 2025-01-26T08:17:33.629713, Tiempo: 0.0s
ID: 9109, Nombre: lliooooook.mp4, Ubicación: uploads\lliooooook.mp4, Tipo: automovil, Confianza: 0.62%, Fecha/Hora: 2025-01-26T08:17:34.066866, Tiempo: 0.0s
ID: 9110, Nombre: lliooooook.mp4, Ubicación: uploads\lliooooook.mp4, Tipo: automovil, Confianza: 0.31%, Fecha/Hora: 2025-01-26T08:17:34.067866, Tiempo: 0.0s
ID: 9111, Nombre: lliooooook.mp4, Ubicación: uploads\lliooooook.mp4, Tipo: automovil, Confianza: 0.31%, Fecha/Hora: 2025-01-26T08:17:34.234763, Tiempo: 0.0s
ID: 9112, Nombre: lliooooook.mp4, Ubicación: uploads\lliooooook.mp4, Tipo: automovil, Confianza: 0.26%, Fecha/Hora: 2025-01-26T08:17:34.234763, Tiempo: 0.0s
ID: 9113, Nombre: lliooooook.mp4, Ubicación: uploads\lliooooook.mp4, Tipo: automovil, Confianza: 0.30%, Fecha/Hora: 2025-01-26T08:17:34.401660, Tiempo: 0.0s
ID: 9114, Nombre: lliooooook.mp4, Ubicación: uploads\lliooooook.mp4, Tipo: automovil, Confianza: 0.43%, Fecha/Hora: 2025-01-26T08:17:34.566803, Tiempo: 0.0s
ID: 9115, Nombre: lliooooook.mp4, Ubicación: uploads\lliooooook.mp4, Tipo: automovil, Confianza: 0.91%, Fecha/Hora: 2025-01-26T08:17:34.885885, Tiempo: 0.0s
ID: 9116, Nombre: lliooooook.mp4, Ubicación: uploads\lliooooook.mp4, Tipo: automovil, Confianza: 0.90%, Fecha/Hora: 2025-01-26T08:17:34.885885, Tiempo: 0.0s
ID: 9117, Nombre: lliooooook.mp4, Ubicación: uploads\lliooooook.mp4, Tipo: automovil, Confianza: 0.36%, Fecha/Hora: 2025-01-26T08:17:34.886886, Tiempo: 0.0s
ID: 9118, Nombre: lliooooook.mp4, Ubicación: uploads\lliooooook.mp4, Tipo: automovil, Confianza: 0.92%, Fecha/Hora: 2025-01-26T08:17:35.062777, Tiempo: 0.0s
ID: 9119, Nombre: lliooooook.mp4, Ubicación: uploads\lliooooook.mp4, Tipo: automovil, Confianza: 0.68%, Fecha/Hora: 2025-01-26T08:17:35.063776, Tiempo: 0.0s
ID: 9120, Nombre: lliooooook.mp4, Ubicación: uploads\lliooooook.mp4, Tipo: automovil, Confianza: 0.80%, Fecha/Hora: 2025-01-26T08:17:35.245664, Tiempo: 0.0s
ID: 9121, Nombre: lliooooook.mp4, Ubicación: uploads\lliooooook.mp4, Tipo: automovil, Confianza: 0.96%, Fecha/Hora: 2025-01-26T08:17:35.417559, Tiempo: 0.0s
ID: 9122, Nombre: lliooooook.mp4, Ubicación: uploads\lliooooook.mp4, Tipo: automovil, Confianza: 0.94%, Fecha/Hora: 2025-01-26T08:17:35.417559, Tiempo: 0.0s
